locality,property_type,area_sqft,age_years,metro_km,amenities,txn_year,price
"Dwarka, Delhi",Flat / Apartment,1563.0,0,2.0,"lift, gym, security, power backup",2018,8523000.0
"Indirapuram, Ghaziabad",Builder Floor,964.0,12,2.2,"parking, power backup, club",2018,3932000.0
"Sector 56, Gurugram",Flat / Apartment,1703.0,19,5.5,"security, power backup, club",2022,14393000.0
"Janakpuri, Delhi",Flat / Apartment,566.0,2,1.5,lift,2018,4019000.0
"Janakpuri, Delhi",Flat / Apartment,1256.0,12,1.8,"park-facing, gym, power backup, club",2022,10523000.0
Greater Noida West,Builder Floor,1285.0,12,1.8,"lift, parking, security",2018,4056000.0
"Dwarka, Delhi",Villa,1516.0,13,0.8,"lift, parking, park-facing, gym, power backup",2022,14931000.0
"Sector 62, Noida",Independent House,836.0,16,0.4,parking,2021,5684000.0
"Saket, Delhi",Builder Floor,415.0,8,0.9,"security, power backup",2024,6336000.0
"Dwarka, Delhi",Builder Floor,1377.0,17,5.8,"parking, gym, power backup",2024,9047000.0
"Pitampura, Delhi",Builder Floor,1537.0,13,0.6,"park-facing, gym, security, club",2020,10554000.0
"Sector 15, Faridabad",Flat / Apartment,1753.0,27,0.7,security,2018,4268000.0
"Sector 62, Noida",Flat / Apartment,1139.0,9,3.9,"lift, park-facing, gym, security, power backup",2022,7573000.0
"Sector 62, Noida",Builder Floor,1649.0,27,2.8,,2021,8066000.0
"Sector 62, Noida",Builder Floor,1519.0,28,1.9,gym,2020,6594000.0
"Indirapuram, Ghaziabad",Flat / Apartment,1895.0,9,3.7,"parking, park-facing, security, power backup",2022,9560000.0
"Pitampura, Delhi",Independent House,1275.0,12,2.2,"lift, gym, security, power backup, club",2022,12659000.0
"Dwarka, Delhi",Builder Floor,522.0,20,0.0,"lift, security",2022,3311000.0
"Indirapuram, Ghaziabad",Flat / Apartment,1270.0,13,1.2,"lift, parking, park-facing, club",2024,6894000.0
"Janakpuri, Delhi",Flat / Apartment,1340.0,21,8.6,"lift, parking, park-facing",2020,9007000.0
"Pitampura, Delhi",Flat / Apartment,1533.0,7,2.2,"lift, parking, gym, club",2021,11258000.0
"Lajpat Nagar, Delhi",Flat / Apartment,610.0,28,4.6,"park-facing, gym, security, power backup, club",2019,4319000.0
"Saket, Delhi",Flat / Apartment,1160.0,20,4.8,"parking, power backup",2022,13854000.0
"Sector 15, Faridabad",Flat / Apartment,1691.0,2,3.2,"parking, club",2018,5456000.0
"Indirapuram, Ghaziabad",Flat / Apartment,1253.0,7,2.0,"parking, power backup",2022,6121000.0
"Sector 56, Gurugram",Flat / Apartment,1162.0,18,1.0,"lift, power backup",2019,8351000.0
"Janakpuri, Delhi",Independent House,2158.0,8,0.6,"lift, security, power backup",2018,19689000.0
"Indirapuram, Ghaziabad",Independent House,818.0,12,4.7,"lift, security, club",2018,3753000.0
"Mayur Vihar, Delhi",Flat / Apartment,1855.0,19,2.7,"lift, parking, power backup",2022,12499000.0
"Janakpuri, Delhi",Flat / Apartment,1760.0,10,2.7,"lift, parking, gym, security, power backup",2021,14963000.0
"Janakpuri, Delhi",Flat / Apartment,1199.0,27,3.2,,2022,8547000.0
"Saket, Delhi",Flat / Apartment,1285.0,18,1.6,"lift, gym",2022,14812000.0
"Dwarka, Delhi",Flat / Apartment,1284.0,12,4.1,"parking, power backup",2019,5731000.0
"Mayur Vihar, Delhi",Flat / Apartment,1382.0,8,2.3,"parking, gym",2022,10884000.0
Greater Noida West,Flat / Apartment,1032.0,8,1.7,"park-facing, security, power backup, club",2021,4036000.0
"Rohini, Delhi",Villa,1107.0,1,2.8,"lift, parking, gym",2023,10337000.0
Greater Noida West,Flat / Apartment,1140.0,2,4.2,"park-facing, power backup",2021,4002000.0
"Indirapuram, Ghaziabad",Independent House,1155.0,23,1.6,"park-facing, gym, security, power backup",2018,5424000.0
"Vasant Kunj, Delhi",Flat / Apartment,1160.0,23,8.6,"lift, power backup",2019,11353000.0
"Sector 56, Gurugram",Flat / Apartment,350.0,2,0.6,"lift, gym, power backup",2021,2926000.0
"Saket, Delhi",Villa,1344.0,16,3.1,"parking, park-facing, security, power backup, club",2018,21119000.0
"Sector 62, Noida",Flat / Apartment,1063.0,9,1.1,parking,2019,5432000.0
"Sector 62, Noida",Builder Floor,460.0,20,2.4,"lift, park-facing, security",2024,3100000.0
"Lajpat Nagar, Delhi",Villa,1142.0,17,3.5,"lift, gym, power backup",2022,15401000.0
"Rohini, Delhi",Builder Floor,1129.0,23,17.3,"parking, park-facing, gym",2023,6326000.0
"Sector 15, Faridabad",Flat / Apartment,1874.0,18,0.4,"parking, park-facing, security, club",2023,7648000.0
"Janakpuri, Delhi",Flat / Apartment,1057.0,5,0.9,"gym, security",2023,10016000.0
Greater Noida West,Flat / Apartment,1601.0,19,3.1,"lift, gym, club",2022,5180000.0
"Sector 56, Gurugram",Flat / Apartment,1922.0,25,4.3,security,2021,12307000.0
"Indirapuram, Ghaziabad",Flat / Apartment,1017.0,29,1.5,security,2020,3578000.0
"Sector 62, Noida",Independent House,1279.0,21,0.8,"parking, gym, power backup",2022,8756000.0
"Saket, Delhi",Builder Floor,2078.0,12,3.2,"park-facing, security, power backup",2020,24740000.0
"Lajpat Nagar, Delhi",Flat / Apartment,1403.0,15,1.3,,2022,13577000.0
"Pitampura, Delhi",Flat / Apartment,1468.0,4,5.2,"lift, club",2021,9703000.0
"Pitampura, Delhi",Builder Floor,1117.0,19,3.0,,2020,7121000.0
"Rohini, Delhi",Independent House,1609.0,4,3.2,"parking, park-facing, security",2024,12187000.0
"Mayur Vihar, Delhi",Flat / Apartment,1282.0,7,4.8,"parking, power backup",2024,11530000.0
"Saket, Delhi",Flat / Apartment,476.0,15,7.3,"lift, gym, power backup, club",2022,5648000.0
"Sector 62, Noida",Independent House,1140.0,14,1.0,club,2020,6490000.0
"Sector 56, Gurugram",Independent House,768.0,11,1.7,"lift, club",2018,6287000.0
Greater Noida West,Independent House,1351.0,19,5.2,"lift, gym, club",2023,5742000.0
"Sector 62, Noida",Flat / Apartment,887.0,27,2.3,"lift, gym, power backup, club",2023,4390000.0
"Lajpat Nagar, Delhi",Flat / Apartment,1515.0,27,1.4,"lift, park-facing, gym, club",2022,14172000.0
"Sector 15, Faridabad",Flat / Apartment,1320.0,15,2.1,"park-facing, gym, security, club",2018,3996000.0
"Janakpuri, Delhi",Flat / Apartment,738.0,16,6.9,"gym, security",2024,5993000.0
"Lajpat Nagar, Delhi",Independent House,1078.0,13,2.2,"lift, park-facing, gym, club",2020,12736000.0
Greater Noida West,Flat / Apartment,1579.0,26,3.4,"parking, park-facing, club",2018,3909000.0
"Lajpat Nagar, Delhi",Builder Floor,1817.0,25,1.7,"lift, park-facing, gym, power backup",2020,17102000.0
"Rohini, Delhi",Independent House,894.0,1,0.5,"park-facing, power backup, club",2021,6271000.0
"Pitampura, Delhi",Villa,806.0,23,4.2,"lift, security",2022,8348000.0
"Indirapuram, Ghaziabad",Builder Floor,2178.0,0,1.7,"lift, parking, gym, security",2024,14197000.0
"Saket, Delhi",Villa,1296.0,21,4.5,"parking, gym",2023,21529000.0
"Pitampura, Delhi",Flat / Apartment,1341.0,10,3.3,"lift, gym, club",2019,8553000.0
"Dwarka, Delhi",Flat / Apartment,967.0,15,2.8,"parking, security, power backup",2019,4864000.0
"Sector 56, Gurugram",Flat / Apartment,1397.0,23,5.5,"lift, power backup, club",2024,11469000.0
"Pitampura, Delhi",Villa,2072.0,7,1.7,lift,2022,21705000.0
"Lajpat Nagar, Delhi",Independent House,1414.0,3,4.1,"lift, parking, gym, security",2023,20729000.0
"Saket, Delhi",Flat / Apartment,1779.0,17,2.2,"parking, security, club",2022,20908000.0
"Mayur Vihar, Delhi",Flat / Apartment,1313.0,25,1.6,security,2020,7661000.0
"Sector 56, Gurugram",Flat / Apartment,838.0,3,3.1,"lift, parking, park-facing, gym",2022,8415000.0
"Sector 15, Faridabad",Flat / Apartment,993.0,11,1.4,"park-facing, power backup, club",2023,4409000.0
"Janakpuri, Delhi",Independent House,797.0,16,1.8,"park-facing, gym, security, power backup, club",2018,6147000.0
"Saket, Delhi",Flat / Apartment,1398.0,6,2.5,"gym, security, club",2018,14777000.0
"Indirapuram, Ghaziabad",Independent House,1851.0,25,5.3,"park-facing, gym, power backup",2021,8505000.0
"Sector 56, Gurugram",Builder Floor,1372.0,17,5.7,"lift, parking, park-facing",2024,13649000.0
"Sector 62, Noida",Flat / Apartment,1161.0,15,0.8,gym,2024,7627000.0
"Dwarka, Delhi",Flat / Apartment,945.0,4,1.5,"lift, security, power backup, club",2020,5838000.0
"Lajpat Nagar, Delhi",Villa,1460.0,2,3.6,"lift, parking, security, power backup, club",2019,21282000.0
"Sector 62, Noida",Builder Floor,743.0,4,1.4,security,2020,4338000.0
"Indirapuram, Ghaziabad",Flat / Apartment,790.0,0,1.5,"parking, park-facing, power backup",2023,4195000.0
"Janakpuri, Delhi",Flat / Apartment,1705.0,16,2.1,"lift, parking, gym, security, power backup",2022,14025000.0
"Indirapuram, Ghaziabad",Independent House,1175.0,25,3.5,"parking, gym, power backup",2023,6988000.0
"Indirapuram, Ghaziabad",Independent House,1166.0,22,2.7,"lift, security, power backup",2022,6254000.0
"Janakpuri, Delhi",Independent House,1224.0,6,5.7,"lift, parking, gym, power backup",2024,15515000.0
Greater Noida West,Builder Floor,1627.0,5,2.5,"lift, gym, power backup",2024,7547000.0
"Vasant Kunj, Delhi",Independent House,1374.0,15,2.8,"parking, park-facing, security, power backup, club",2020,21306000.0
"Vasant Kunj, Delhi",Flat / Apartment,966.0,23,2.2,"lift, park-facing, club",2023,12975000.0
"Sector 56, Gurugram",Builder Floor,982.0,23,3.0,"parking, security",2023,8769000.0
"Sector 56, Gurugram",Flat / Apartment,1212.0,15,1.6,"power backup, club",2024,11456000.0
"Dwarka, Delhi",Builder Floor,1436.0,7,3.1,"lift, parking, gym, power backup",2019,9597000.0
"Indirapuram, Ghaziabad",Villa,1284.0,14,1.3,"parking, club",2020,7056000.0
"Saket, Delhi",Villa,1244.0,22,5.0,"gym, security, power backup",2021,20353000.0
"Indirapuram, Ghaziabad",Flat / Apartment,1321.0,26,2.3,"lift, park-facing, gym, security, club",2021,5102000.0
"Rohini, Delhi",Builder Floor,1284.0,2,6.4,"lift, parking, gym, security, power backup, club",2021,8141000.0
"Indirapuram, Ghaziabad",Independent House,949.0,23,4.9,"lift, parking, security, club",2024,5704000.0
"Indirapuram, Ghaziabad",Villa,1798.0,22,2.8,"gym, security, club",2022,10401000.0
"Indirapuram, Ghaziabad",Independent House,1083.0,6,3.7,power backup,2020,5197000.0
"Sector 56, Gurugram",Flat / Apartment,1358.0,1,3.2,"lift, parking",2019,10938000.0
"Pitampura, Delhi",Flat / Apartment,373.0,9,0.8,"park-facing, gym, club",2018,2307000.0
"Sector 62, Noida",Independent House,1203.0,8,2.7,"park-facing, gym",2020,7500000.0
"Vasant Kunj, Delhi",Independent House,805.0,3,2.6,"gym, club",2024,16461000.0
"Indirapuram, Ghaziabad",Builder Floor,859.0,7,2.2,"parking, gym",2024,5122000.0
"Mayur Vihar, Delhi",Builder Floor,2390.0,5,3.3,"lift, parking, security, power backup",2023,23772000.0
"Janakpuri, Delhi",Flat / Apartment,1412.0,26,2.8,,2022,9718000.0
"Pitampura, Delhi",Flat / Apartment,1852.0,2,2.9,"parking, gym, security",2018,10926000.0
"Mayur Vihar, Delhi",Independent House,1685.0,16,6.2,"parking, gym, security, power backup",2021,15117000.0
"Rohini, Delhi",Flat / Apartment,1742.0,9,2.5,"lift, security, power backup",2018,6207000.0
"Dwarka, Delhi",Builder Floor,1210.0,25,4.2,lift,2018,5472000.0
"Vasant Kunj, Delhi",Builder Floor,2023.0,14,2.3,"lift, parking",2020,26256000.0
"Dwarka, Delhi",Independent House,1681.0,17,6.3,"lift, park-facing",2024,11950000.0
"Janakpuri, Delhi",Flat / Apartment,1319.0,11,3.6,gym,2021,9254000.0
"Sector 56, Gurugram",Builder Floor,1418.0,24,2.8,"parking, park-facing, gym",2023,12363000.0
"Sector 56, Gurugram",Flat / Apartment,1238.0,20,1.5,,2023,10208000.0
"Pitampura, Delhi",Flat / Apartment,1324.0,16,6.4,"gym, security, power backup, club",2024,10089000.0
Greater Noida West,Flat / Apartment,1280.0,11,4.7,"gym, power backup",2024,4640000.0
"Mayur Vihar, Delhi",Flat / Apartment,1472.0,13,1.4,"park-facing, security",2020,9976000.0
"Dwarka, Delhi",Villa,2083.0,7,0.6,"lift, security, power backup",2024,24368000.0
"Sector 62, Noida",Independent House,758.0,19,1.9,security,2018,4116000.0
"Mayur Vihar, Delhi",Flat / Apartment,1814.0,8,1.1,"gym, security, power backup, club",2021,14058000.0
"Sector 56, Gurugram",Independent House,1134.0,8,2.1,"lift, security",2023,13826000.0
"Mayur Vihar, Delhi",Flat / Apartment,1871.0,13,4.0,"lift, parking, gym, power backup",2023,16154000.0
"Mayur Vihar, Delhi",Builder Floor,1150.0,27,4.7,"lift, park-facing, security",2023,7963000.0
"Dwarka, Delhi",Independent House,1486.0,13,0.6,"lift, security",2023,12045000.0
"Mayur Vihar, Delhi",Builder Floor,1229.0,27,0.8,"lift, security, club",2024,11036000.0
"Indirapuram, Ghaziabad",Flat / Apartment,521.0,15,1.1,"gym, power backup, club",2022,2638000.0
"Vasant Kunj, Delhi",Flat / Apartment,2083.0,2,2.7,"gym, security, power backup",2018,23368000.0
"Mayur Vihar, Delhi",Flat / Apartment,876.0,17,4.9,"park-facing, gym, security, club",2018,4535000.0
"Rohini, Delhi",Villa,1338.0,27,2.3,"lift, gym, security",2022,9128000.0
"Lajpat Nagar, Delhi",Builder Floor,826.0,26,0.6,"lift, parking, power backup",2022,8254000.0
"Janakpuri, Delhi",Flat / Apartment,698.0,5,2.9,"park-facing, gym, security, power backup, club",2018,4863000.0
"Sector 15, Faridabad",Flat / Apartment,1208.0,8,1.7,power backup,2018,3520000.0
"Saket, Delhi",Independent House,1033.0,20,1.7,park-facing,2021,13275000.0
"Vasant Kunj, Delhi",Flat / Apartment,774.0,13,2.7,"gym, security, power backup, club",2024,11380000.0
"Janakpuri, Delhi",Builder Floor,1284.0,24,3.4,lift,2024,11673000.0
"Sector 15, Faridabad",Builder Floor,633.0,15,4.5,"lift, parking, park-facing, gym",2019,2007000.0
Greater Noida West,Flat / Apartment,1356.0,7,5.0,,2023,4497000.0
"Rohini, Delhi",Flat / Apartment,1243.0,9,4.2,"lift, park-facing, gym, club",2023,7721000.0
"Vasant Kunj, Delhi",Flat / Apartment,350.0,3,3.8,"parking, park-facing, gym, club",2019,4411000.0
"Indirapuram, Ghaziabad",Flat / Apartment,1065.0,8,0.8,"lift, parking",2023,5791000.0
"Rohini, Delhi",Builder Floor,1511.0,22,3.6,"gym, security",2022,7181000.0
Greater Noida West,Independent House,821.0,6,2.1,"park-facing, gym, power backup",2024,4164000.0
"Vasant Kunj, Delhi",Flat / Apartment,1530.0,13,4.9,"lift, gym, club",2021,18483000.0
Greater Noida West,Flat / Apartment,1495.0,5,1.6,"lift, power backup, club",2019,4747000.0
"Vasant Kunj, Delhi",Flat / Apartment,842.0,14,2.0,lift,2021,10075000.0
"Janakpuri, Delhi",Flat / Apartment,1294.0,28,1.4,,2020,7487000.0
"Sector 56, Gurugram",Independent House,1671.0,22,1.7,"park-facing, security, power backup, club",2018,13533000.0
"Dwarka, Delhi",Independent House,906.0,22,5.6,security,2018,4678000.0
"Mayur Vihar, Delhi",Independent House,1207.0,7,1.5,gym,2022,12176000.0
"Pitampura, Delhi",Flat / Apartment,1818.0,9,2.5,"parking, park-facing, gym, power backup",2022,14570000.0
"Indirapuram, Ghaziabad",Builder Floor,914.0,2,1.6,"lift, gym, security, club",2022,5750000.0
"Sector 15, Faridabad",Flat / Apartment,1507.0,27,2.5,"lift, parking, security, club",2019,3889000.0
"Sector 56, Gurugram",Villa,814.0,28,2.9,"parking, park-facing, security, power backup",2018,7912000.0
"Janakpuri, Delhi",Builder Floor,1228.0,10,3.6,"lift, gym, security",2024,12857000.0
"Janakpuri, Delhi",Villa,1501.0,20,2.3,"parking, power backup, club",2018,14311000.0
"Janakpuri, Delhi",Flat / Apartment,350.0,6,6.0,"parking, park-facing, power backup",2024,3478000.0
"Indirapuram, Ghaziabad",Flat / Apartment,1060.0,19,0.6,parking,2021,4360000.0
"Lajpat Nagar, Delhi",Independent House,1493.0,2,1.5,"lift, park-facing, gym, security, power backup, club",2021,23236000.0
